character,state,probability
c26,24,0.055966
c26,25,0.322070
c26,26,0.001056
c26,27,0.003168
c26,28,0.001056
c26,29,0.168955
c26,3,0.218585
c26,30,0.060190
c26,31,0.017951
c26,32,0.119324
c26,33,0.012672
c26,34,0.001056
c26,35,0.017951
c26,36,0.016895
c26,37,0.058078
c26,38,0.161563
c26,39,0.016895
c26,4,0.128828
c26,40,0.003168
c26,41,0.053854
c26,42,0.032735
c26,43,0.168955
c26,44,0.022175
c26,45,0.097149
c26,46,0.010560
c26,47,0.129884
c26,48,0.002112
c26,49,0.002112
c26,5,0.435058
c26,50,0.059134
c26,51,0.183738
c26,52,0.344245
c26,53,0.007392
c26,54,0.005280
c26,55,0.013728
c26,56,0.008448
c26,57,0.149947
c26,58,0.178458
c26,59,0.008448
c26,6,0.398099
c26,60,0.009504
c26,61,0.036959
c26,7,0.002112
c26,8,0.001056
c26,9,0.014784
c27,10,0.015839
c27,11,0.003168
c27,12,0.047518
c27,13,0.003168
c27,14,0.025343
c27,15,0.012672
c27,16,0.014784
c27,17,0.001056
c27,18,0.014784
c27,19,0.335797
c27,2,0.643083
c27,20,0.158395
c27,21,0.119324
c27,22,0.001056
c27,23,0.001056
c27,3,0.568110
c27,4,0.447730
c27,5,0.345301
c27,6,0.279831
c27,7,0.001056
c27,8,0.147835
c27,9,0.098205
c28,10,0.252376
c28,11,0.192186
c28,12,0.002112
c28,13,0.003168
c28,14,0.001056
c28,15,0.143611
c28,16,0.003168
c28,17,0.176346
c28,18,0.001056
c28,19,0.298838
c28,2,0.229145
c28,20,0.057022
c28,21,0.006336
c28,22,0.048574
c28,23,0.015839
c28,24,0.002112
c28,25,0.061246
c28,26,0.158395
c28,27,0.009504
c28,28,0.002112
c28,29,0.001056
c28,3,0.006336
c28,30,0.001056
c28,31,0.039071
c28,32,0.001056
c28,4,0.383316
c28,5,0.006336
c28,6,0.003168
c28,7,0.277719
c28,8,0.001056
c28,9,0.299894
c29,10,0.010560
c29,11,0.032735
c29,12,0.220697
c29,13,0.299894
c29,14,0.178458
c29,15,0.161563
c29,16,0.119324
c29,17,0.158395
c29,18,0.001056
c29,19,0.006336
c29,2,0.027455
c29,3,0.004224
c29,4,0.373812
c29,5,0.398099
c29,6,0.727561
c29,7,0.012672
c29,8,0.198522
c29,9,0.298838
